Path Data:
Index   x       y       z       psi     theta   phi
1          1.0000     -3.0000    -2.0000    0.0000     0.0000     0.0000    
2          1.6294     -3.0000    -2.6848    8.5132     39.3444    45.4644   
3          1.6178     -3.0000    -2.6847    60.0797    92.5352    88.2261   
4          0.7370     -3.0000    -2.3655    87.3076    102.9385   112.1815  
5          0.3210     -3.0000    -1.4623    112.6777   121.0258   152.1732  
6          -0.6138    -3.0000    -1.1727    119.9144   136.1341   148.8670  
7          -0.5244    -2.0126    -1.3636    166.2332   177.9101   177.9582  
8          -0.3191    -1.9890    -0.4211    179.2972   140.4626   179.4822  
9          -0.3034    -1.9550    0.4628     147.4696   167.5242   156.4346  
10         -1.1667    -2.0938    0.8747     161.1513   173.3947   176.3888  
11         -0.5135    -1.7509    1.6909     171.7662   143.9059   179.0531  
12         0.0040     -0.7662    2.3089     176.6078   170.2737   121.2923  
13         0.8740     -0.6490    3.0000     151.5343   146.9814   136.7024  
14         1.6648     0.1218     2.2878     175.9167   152.6591   178.2715  
15         2.1618     1.0369     2.5334     177.4257   162.6488   160.7276  
16         1.4876     0.7477     1.9926     126.1541   141.4031   179.5299  
17         1.4227     1.0900     1.9686     140.5795   172.9763   141.3880  
18         0.7264     2.0230     1.8196     177.3923   169.5338   166.4884  
19         -0.0357    2.2375     2.2200     169.0086   152.6318   159.2614  
20         -0.9918    2.6204     3.0000     141.5624   161.3902   170.9354  
21         -1.7833    3.0000     2.0634     170.9081   169.4960   173.0049  
22         -2.1207    3.0000     1.8294     177.4992   137.4016   152.6695  
23         -2.7037    2.7470     2.4160     158.8552   165.0344   179.5077  
24         -2.5522    1.8036     2.1662     144.5577   141.0993   141.4282  
25         -2.9522    1.7119     1.8497     145.1675   170.6973   179.5848  
26         -2.5997    2.0573     0.8502     164.4388   158.9852   177.6231  
27         -3.0000    1.8734     0.9213     149.8016   178.2420   156.4111  
28         -2.2063    2.4087     0.4455     160.5775   161.9934   158.4214  
29         -2.0000    3.0000     -1.0000    55.0000    95.0000    120.0000  
